uid,group,join_dt,device
1006702,B,2023-01-31,I
1006703,A,2023-01-26,A
1006704,B,2023-01-28,I
1006705,B,2023-01-26,I
1006706,B,2023-01-27,A
1006707,B,2023-01-28,I
1006708,A,2023-01-25,I
1006709,A,2023-01-26,A
1006710,B,2023-01-25,A
1006711,A,2023-01-30,A
1006712,A,2023-02-04,I
1006713,A,2023-01-25,A
1006714,B,2023-02-06,A
1006715,B,2023-01-26,A
1006716,B,2023-01-25,A
1006717,A,2023-01-26,I
1006718,B,2023-01-29,A
1006719,B,2023-01-26,A
1006720,A,2023-02-06,A
1006721,B,2023-02-02,A
1006722,A,2023-01-25,A
1006723,A,2023-01-30,A
1006724,B,2023-01-29,A
1006725,B,2023-02-01,A
1006726,A,2023-02-05,A
1006727,A,2023-01-26,I
1006728,B,2023-02-06,A
1006729,A,2023-01-25,A
1006730,B,2023-01-28,A
1006731,A,2023-01-28,I
1006732,B,2023-01-27,I
1006733,B,2023-01-28,I
1006734,B,2023-01-26,I
1006735,B,2023-01-25,A
1006736,B,2023-01-25,A
1006737,A,2023-01-27,A
1006738,A,2023-01-26,I
1006739,B,2023-01-30,I
1006740,B,2023-01-28,I
1006741,A,2023-01-25,A
1006742,A,2023-01-28,I
1006743,B,2023-01-25,I
1006744,B,2023-01-28,I
1006745,B,2023-01-25,A
1006746,B,2023-01-25,A
1006747,B,2023-01-25,A
1006748,A,2023-02-04,A
1006749,A,2023-01-27,A
1006750,A,2023-01-26,I
1006751,B,2023-01-29,I
1006752,B,2023-02-04,A
1006753,B,2023-01-25,I
1006754,A,2023-01-29,A
1006755,B,2023-02-01,A
1006756,B,2023-01-31,I
1006757,A,2023-01-25,A
1006758,A,2023-01-27,A
1006759,A,2023-01-26,A
1006760,B,2023-02-02,A
1006761,B,2023-01-31,A
1006762,B,2023-01-29,A
1006763,B,2023-01-30,A
1006764,B,2023-01-31,A
1006765,B,2023-02-05,A
1006766,B,2023-01-29,A
1006767,A,2023-01-25,A
1006768,A,2023-01-28,I
1006769,B,2023-02-02,A
1006770,B,2023-01-25,A
1006771,B,2023-01-25,A
1006773,A,2023-01-26,A
1006774,B,2023-01-25,A
1006775,B,2023-01-27,A
1006776,A,2023-01-28,A
1006777,B,2023-01-25,I
1006778,A,2023-01-30,A
1006779,A,2023-01-25,A
1006780,A,2023-01-28,
1006781,A,2023-01-25,I
1006783,B,2023-01-25,A
1006784,A,2023-01-26,A
1006785,B,2023-01-25,A
1006786,B,2023-01-25,A
1006787,B,2023-01-25,A
1006788,B,2023-02-05,A
1006789,B,2023-02-06,A
1006790,B,2023-01-27,A
1006791,A,2023-01-25,A
1006792,A,2023-02-05,I
1006793,B,2023-01-31,I
1006794,A,2023-02-04,A
1006795,A,2023-01-27,I
1006796,A,2023-01-25,A
1006797,B,2023-01-27,A
1006798,B,2023-01-26,A
1006799,A,2023-01-27,I
1006800,B,2023-01-25,A
1006801,A,2023-02-02,I
1006802,A,2023-01-27,A
1006803,B,2023-01-29,A
1006804,A,2023-01-26,A
1006805,B,2023-01-25,I
1006806,B,2023-01-27,A
1006807,A,2023-02-02,I
1006808,A,2023-01-25,I
1006809,B,2023-01-25,A
1006811,A,2023-01-26,I
1006812,A,2023-01-25,I
1006813,B,2023-01-25,I
1006814,B,2023-02-01,A
1006815,B,2023-02-01,I
1006816,B,2023-01-26,A
1006817,A,2023-01-26,A
1006818,A,2023-02-03,I
1006819,A,2023-02-03,A
1006820,A,2023-01-30,A
1006821,B,2023-01-29,A
1006822,A,2023-01-30,A
1006823,A,2023-02-06,A
1006824,B,2023-01-25,I
1006825,A,2023-02-02,I
1006826,A,2023-01-26,I
1006827,A,2023-01-25,A
1006828,A,2023-01-29,A
1006829,B,2023-01-25,A
1006830,B,2023-02-01,A
1006831,A,2023-01-27,I
1006832,A,2023-01-27,A
1006833,B,2023-02-06,A
1006834,B,2023-02-03,A
1006835,A,2023-01-31,I
1006836,B,2023-01-25,A
1006837,A,2023-01-26,A
1006838,A,2023-02-06,I
1006839,A,2023-01-28,I
1006840,A,2023-01-25,I
1006841,A,2023-01-27,A
1006842,B,2023-02-01,I
1006843,A,2023-01-29,A
1006844,A,2023-01-26,A
1006845,A,2023-02-03,A
1006846,B,2023-01-27,I
1006847,B,2023-01-27,A
1006848,B,2023-01-29,A
1006849,B,2023-02-01,I
1006850,A,2023-01-28,A
1006851,A,2023-01-31,I
1006852,A,2023-01-31,I
1006853,B,2023-01-30,I
1006854,B,2023-01-29,A
1006855,A,2023-01-26,A
1006856,A,2023-01-30,A
1006857,B,2023-01-26,A
1006858,B,2023-01-30,A
1006859,A,2023-02-04,I
1006860,A,2023-01-30,I
1006861,A,2023-01-25,A
1006862,B,2023-02-04,A
1006863,B,2023-01-25,A
1006864,B,2023-02-05,A
1006865,B,2023-01-29,A
1006866,B,2023-01-26,I
1006867,B,2023-01-30,A
1006868,B,2023-01-27,A
1006869,B,2023-01-29,I
1006870,B,2023-01-26,I
1006871,B,2023-02-04,A
1006872,B,2023-01-26,A
1006873,B,2023-01-30,I
1006874,B,2023-02-06,A
1006875,A,2023-01-31,I
1006876,B,2023-01-25,A
1006877,B,2023-01-28,A
1006878,B,2023-01-28,A
1006879,B,2023-01-28,A
1006880,A,2023-01-25,A
1006881,B,2023-02-06,I
1006882,B,2023-02-02,I
1006883,A,2023-01-25,I
1006885,A,2023-01-26,I
1006886,A,2023-01-26,I
1006887,A,2023-01-25,A
1006888,A,2023-01-27,A
1006889,A,2023-01-25,A
1006890,B,2023-01-31,A
1006891,A,2023-01-27,A
1006892,A,2023-01-31,A
1006893,A,2023-02-05,I
1006894,A,2023-01-26,A
1006895,A,2023-01-26,I
1006896,A,2023-02-02,I
1006897,A,2023-01-25,I
1006898,B,2023-01-30,I
1006899,A,2023-02-05,A
1006900,B,2023-01-28,A
1006901,B,2023-01-28,A
1006902,A,2023-01-25,A
1006903,B,2023-01-25,A
1006904,A,2023-02-05,A
1006905,A,2023-01-28,I
1006906,B,2023-01-27,A
1006907,B,2023-01-31,I
1006908,B,2023-01-27,A
1006909,A,2023-01-29,A
1006910,A,2023-01-25,A
1006911,A,2023-01-30,A
1006912,B,2023-01-30,A
1006913,A,2023-01-27,A
1006914,A,2023-02-03,A
1006915,B,2023-02-04,I
1006916,A,2023-01-25,A
1006917,A,2023-01-26,I
1006918,A,2023-01-27,A
1006919,B,2023-01-29,A
1006920,B,2023-02-03,A
1006921,A,2023-01-26,I
1006922,A,2023-01-27,I
1006923,B,2023-01-25,A
1006924,A,2023-02-06,I
1006925,A,2023-01-26,A
1006926,B,2023-01-26,A
1006927,A,2023-01-31,I
1006928,A,2023-01-29,A
1006929,B,2023-01-25,A
1006930,B,2023-01-27,A
1006931,B,2023-02-05,A
1006932,B,2023-01-26,A
1006933,B,2023-01-30,I
1006934,B,2023-01-31,A
1006935,A,2023-01-28,A
1006936,B,2023-01-27,I
1006937,A,2023-02-06,A
1006938,A,2023-01-25,I
1006939,B,2023-02-04,A
1006940,A,2023-01-27,A
1006941,B,2023-02-06,A
1006942,A,2023-01-26,I
1006943,B,2023-01-26,A
1006944,A,2023-01-28,I
1006945,B,2023-02-02,A
1006946,B,2023-01-26,I
1006947,A,2023-01-28,A
1006948,A,2023-01-31,I
1006949,B,2023-01-30,I
1006950,A,2023-01-27,I
1006951,A,2023-01-25,I
1006952,A,2023-01-29,A
1006953,A,2023-02-02,I
1006954,A,2023-01-26,A
1006955,A,2023-01-25,I
1006956,B,2023-01-26,I
1006957,B,2023-01-27,A
1006958,B,2023-02-02,A
1006959,B,2023-01-31,A
1006960,B,2023-01-28,A
1006961,A,2023-01-25,A
1006962,A,2023-01-28,I
1006963,A,2023-01-25,I
1006964,B,2023-01-25,I
1006965,A,2023-01-29,A
1006966,B,2023-02-03,I
1006967,B,2023-02-04,A
1006968,B,2023-01-28,I
1006969,B,2023-02-02,I
1006970,A,2023-01-25,A
1006971,B,2023-01-26,A
1006972,A,2023-01-28,I
1006973,A,2023-01-25,A
1006974,B,2023-01-30,A
1006975,A,2023-01-25,I
1006976,B,2023-01-26,I
1006977,B,2023-01-26,A
1006978,B,2023-02-01,A
1006979,A,2023-01-26,A
1006980,B,2023-02-01,I
1006981,A,2023-02-05,I
1006982,B,2023-01-26,A
1006983,B,2023-01-25,A
1006984,B,2023-01-25,A
1006985,A,2023-01-29,A
1006986,A,2023-01-26,A
1006987,B,2023-01-26,I
1006988,A,2023-01-26,A
1006989,A,2023-01-30,I
1006990,A,2023-01-25,A
1006991,A,2023-01-28,A
1006992,B,2023-01-26,I
1006993,A,2023-01-28,A
1006994,B,2023-01-25,I
1006995,B,2023-01-30,A
1006996,B,2023-01-26,A
1006997,B,2023-01-31,A
1006998,A,2023-01-26,I
1006999,A,2023-02-01,A
1007000,A,2023-01-28,A
1007001,B,2023-01-26,A
1007002,B,2023-01-25,A
1007003,B,2023-01-25,A
1007004,B,2023-01-29,I
1007005,A,2023-01-28,A
1007006,A,2023-01-25,A
1007007,A,2023-01-29,I
1007008,B,2023-01-26,I
1007009,B,2023-01-26,A
1007010,B,2023-01-25,A
1007011,A,2023-02-02,A
1007012,A,2023-01-26,A
1007013,B,2023-01-26,A
1007014,B,2023-01-31,A
1007015,A,2023-01-30,A
1007016,B,2023-01-26,A
1007017,A,2023-02-01,I
1007018,B,2023-02-01,A
1007019,A,2023-01-26,A
1007020,B,2023-01-31,A
1007021,A,2023-02-03,I
1007022,A,2023-01-25,A
1007023,A,2023-02-06,I
1007024,B,2023-01-26,I
1007025,A,2023-01-27,A
1007026,A,2023-01-25,A
1007027,B,2023-01-25,I
1007028,B,2023-01-28,A
1007029,A,2023-01-25,I
1007030,B,2023-01-25,I
1007031,B,2023-01-27,I
1007032,A,2023-01-30,I
1007033,A,2023-01-26,I
1007034,A,2023-02-01,I
1007035,A,2023-01-29,A
1007036,B,2023-02-01,A
1007037,B,2023-01-25,I
1007038,B,2023-01-31,A
1007039,B,2023-02-05,I
1007040,B,2023-02-01,A
1007041,B,2023-01-27,I
1007042,B,2023-01-31,A
1007043,B,2023-02-06,A
1007044,B,2023-01-27,I
1007045,B,2023-02-03,A
1007046,A,2023-02-02,A
1007047,A,2023-01-25,I
1007048,A,2023-01-26,I
1007049,A,2023-01-25,A
1007050,B,2023-01-30,I
1007051,B,2023-01-25,A
1007052,B,2023-02-04,I
1007053,B,2023-01-27,A
1007054,B,2023-01-29,I
1007055,B,2023-01-29,A
1007056,A,2023-01-27,I
1007057,A,2023-01-26,I
1007058,B,2023-02-04,I
1007059,A,2023-01-29,I
1007060,B,2023-01-25,A
1007061,A,2023-02-05,A
1007062,B,2023-02-03,I
1007063,B,2023-01-27,
1007064,A,2023-02-06,A
1007065,A,2023-01-31,I
1007066,B,2023-02-05,I
1007067,A,2023-01-25,A
1007068,B,2023-01-25,I
1007069,A,2023-01-27,A
1007070,B,2023-01-28,A
1007071,A,2023-01-25,A
1007072,A,2023-01-26,A
1007073,A,2023-02-02,A
1007074,B,2023-01-25,I
1007075,B,2023-01-29,A
1007076,B,2023-01-31,A
1007077,A,2023-01-28,A
1007078,B,2023-01-25,A
1007079,A,2023-01-29,I
1007080,B,2023-01-27,I
1007081,B,2023-02-01,A
1007082,A,2023-01-25,A
1007083,B,2023-01-26,I
1007084,A,2023-01-25,A
1007085,A,2023-01-27,A
1007086,B,2023-01-31,I
1007087,A,2023-01-25,I
1007088,A,2023-01-27,I
1007089,A,2023-01-27,A
1007090,A,2023-02-03,A
1007091,B,2023-01-27,I
1007092,B,2023-01-25,A
1007093,A,2023-01-28,A
1007094,A,2023-01-25,
1007095,A,2023-01-27,A
1007096,A,2023-01-25,A
1007097,A,2023-01-25,I
1007098,A,2023-01-28,I
1007099,B,2023-02-02,A
1007100,A,2023-02-03,A
1007101,A,2023-01-27,I
1007102,B,2023-01-27,I
1007103,B,2023-01-26,A
1007104,B,2023-01-28,A
1007105,A,2023-01-28,A
1007106,A,2023-01-29,A
1007107,A,2023-01-29,A
1007108,A,2023-01-26,A
1007109,B,2023-01-28,A
1007110,A,2023-01-25,I
1007111,A,2023-01-30,I
1007112,B,2023-01-30,I
1007113,A,2023-01-31,A
1007114,A,2023-01-25,I
1007115,A,2023-01-26,A
1007116,B,2023-02-04,I
1007117,B,2023-01-30,A
1007118,B,2023-02-04,
1007119,A,2023-01-31,A
1007120,A,2023-01-26,I
1007121,B,2023-01-25,I
1007122,B,2023-01-25,A
1007123,A,2023-01-30,A
1007124,A,2023-01-28,A
1007125,A,2023-02-03,A
1007126,A,2023-01-25,A
1007127,A,2023-01-27,I
1007128,B,2023-02-04,A
1007129,B,2023-01-28,I
1007130,A,2023-01-27,I
1007131,B,2023-01-27,A
1007132,B,2023-01-26,A
1007133,B,2023-01-26,A
1007134,B,2023-01-25,A
1007135,B,2023-01-27,A
1007136,A,2023-01-25,A
1007137,B,2023-01-25,A
1007138,A,2023-01-30,I
1007139,B,2023-01-25,I
1007140,A,2023-02-01,A
1007141,A,2023-01-26,A
1007142,A,2023-01-26,A
1007143,A,2023-02-03,A
1007144,A,2023-02-05,A
1007145,B,2023-01-28,A
1007146,A,2023-01-29,A
1007147,B,2023-01-25,A
1007148,B,2023-01-28,I
1007149,A,2023-02-02,A
1007150,B,2023-02-06,I
1007151,A,2023-01-26,A
1007152,A,2023-02-04,I
1007153,B,2023-01-26,A
1007154,A,2023-02-05,A
1007155,B,2023-02-01,A
1007156,B,2023-01-29,A
1007157,A,2023-01-26,I
1007158,A,2023-01-25,A
1007159,B,2023-01-25,A
1007160,A,2023-02-02,I
1007162,B,2023-01-25,A
1007163,A,2023-01-31,I
1007164,A,2023-01-28,I
1007165,A,2023-01-27,I
1007166,A,2023-01-26,A
1007167,A,2023-01-26,A
1007168,A,2023-01-26,I
1007169,B,2023-01-30,A
1007170,A,2023-01-27,I
1007171,A,2023-01-25,A
1007173,A,2023-01-29,A
1007174,B,2023-01-25,I
1007175,A,2023-01-27,I
1007176,B,2023-01-27,I
1007177,A,2023-02-03,A
1007178,A,2023-01-28,A
1007179,B,2023-01-25,A
1007180,B,2023-02-04,A
1007181,B,2023-01-26,A
1007182,B,2023-01-27,A
1007183,A,2023-02-06,A
1007184,A,2023-01-31,A
1007185,A,2023-01-27,I
1007186,A,2023-01-25,I
1007187,A,2023-01-28,A
1007188,A,2023-02-06,A
1007189,B,2023-01-26,A
1007190,A,2023-02-02,A
1007191,B,2023-01-25,A
1007192,B,2023-02-01,A
1007193,B,2023-01-30,I
1007194,A,2023-01-25,I
1007195,A,2023-01-26,A
1007196,A,2023-01-27,A
1007197,B,2023-01-26,I
1007198,B,2023-01-28,A
1007199,A,2023-01-31,A
1007200,B,2023-01-25,I
1007201,B,2023-01-25,A
1007202,A,2023-01-26,A
1007203,B,2023-01-31,I
1007204,B,2023-01-27,A
1007205,B,2023-01-28,A
1007206,A,2023-01-28,I
1007207,A,2023-01-27,A
1007208,B,2023-01-27,I
1007209,B,2023-02-03,I
1007210,B,2023-01-27,I
1007211,A,2023-01-25,I
1007212,B,2023-01-25,A
1007215,B,2023-01-28,A
1007216,B,2023-01-25,A
1007217,B,2023-01-26,A
1007218,B,2023-01-26,A
1007219,B,2023-01-29,I
1007220,A,2023-02-04,A
1007221,A,2023-01-25,I
1007222,A,2023-02-05,A
1007223,A,2023-01-30,A
1007224,B,2023-01-26,I
1007225,B,2023-01-27,A
1007226,B,2023-02-03,A
1007227,B,2023-01-28,I
1007228,B,2023-01-26,A
1007229,B,2023-01-25,A
1007230,A,2023-02-06,A
1007231,A,2023-01-27,I
1007232,A,2023-01-25,A
1007233,A,2023-01-26,A
1007234,A,2023-01-25,A
1007236,A,2023-01-28,I
1007237,B,2023-01-26,I
1007238,A,2023-01-28,A
1007239,A,2023-02-02,A
1007240,B,2023-01-31,I
1007241,B,2023-01-29,A
1007242,B,2023-01-26,A
1007243,A,2023-01-27,A
1007244,A,2023-01-29,I
1007245,B,2023-01-26,I
1007246,A,2023-02-04,A
1007247,A,2023-01-25,A
1007248,B,2023-01-27,A
1007249,A,2023-01-26,I
1007250,A,2023-01-25,A
1007251,B,2023-01-26,A
1007252,B,2023-01-29,I
1007253,B,2023-01-31,I
1007254,A,2023-01-29,I
1007255,B,2023-02-06,A
1007256,B,2023-01-25,A
1007257,B,2023-01-27,I
1007258,A,2023-02-04,A
1007259,B,2023-01-26,I
1007260,B,2023-02-06,I
1007261,B,2023-01-25,A
1007262,B,2023-01-27,I
1007263,B,2023-02-03,A
1007264,B,2023-01-25,I
1007265,B,2023-01-27,I
1007266,A,2023-01-26,A
1007267,A,2023-02-05,A
1007268,A,2023-01-29,I
1007269,B,2023-01-28,I
1007270,A,2023-01-29,I
1007271,B,2023-01-26,I
1007272,B,2023-01-25,I
1007273,A,2023-02-02,I
1007274,A,2023-01-25,A
1007275,A,2023-02-03,A
1007276,A,2023-01-29,I
1007277,A,2023-02-01,A
1007278,B,2023-02-05,I
1007279,A,2023-02-04,A
1007280,A,2023-01-27,A
1007281,B,2023-01-27,A
1007282,A,2023-02-02,I
1007283,A,2023-01-26,A
1007284,B,2023-01-26,A
1007285,B,2023-02-03,I
1007286,A,2023-01-26,A
1007287,B,2023-02-04,I
1007288,B,2023-01-25,I
1007289,B,2023-01-28,A
1007290,A,2023-01-25,A
1007291,A,2023-01-26,I
1007292,A,2023-01-25,A
1007293,A,2023-02-06,I
1007294,A,2023-01-27,A
1007295,A,2023-01-28,A
1007296,B,2023-01-27,A
1007297,A,2023-01-29,I
1007298,B,2023-02-02,I
1007299,A,2023-01-25,I
1007300,B,2023-01-31,A
1007301,B,2023-01-25,A
1007302,A,2023-01-25,A
1007303,A,2023-01-25,A
1007304,A,2023-01-25,A
1007305,B,2023-01-31,I
1007306,A,2023-01-30,A
1007307,A,2023-01-28,I
1007308,A,2023-01-25,A
1007309,A,2023-01-25,I
1007310,B,2023-01-26,I
1007311,B,2023-01-30,A
1007312,A,2023-01-25,A
1007313,B,2023-01-25,I
1007314,A,2023-02-02,A
1007315,B,2023-01-27,A
1007316,A,2023-01-30,I
1007317,B,2023-01-26,A
1007318,B,2023-01-25,A
1007319,A,2023-02-06,A
1007320,B,2023-02-02,A
1007321,A,2023-02-01,A
1007322,A,2023-01-25,A
1007323,A,2023-01-31,I
1007324,B,2023-01-25,A
1007325,B,2023-01-29,A
1007326,A,2023-01-28,A
1007327,B,2023-01-25,A
1007328,B,2023-02-05,I
1007329,B,2023-01-25,I
1007330,B,2023-01-25,I
1007331,A,2023-01-29,I
1007332,B,2023-02-05,I
1007333,B,2023-01-25,I
1007334,A,2023-02-06,A
1007335,B,2023-01-29,A
1007336,A,2023-01-30,A
1007337,A,2023-01-30,I
1007338,A,2023-01-25,A
1007339,B,2023-02-04,A
1007340,A,2023-01-26,I
1007341,B,2023-02-01,I
1007342,A,2023-01-26,I
1007343,B,2023-01-27,A
1007344,B,2023-01-29,I
1007345,A,2023-02-03,A
1007346,B,2023-01-26,A
1007347,B,2023-01-26,A
1007348,B,2023-01-25,A
1007349,A,2023-01-25,A
1007350,B,2023-01-27,A
1007351,B,2023-02-03,I
1007352,B,2023-01-25,I
1007353,B,2023-01-25,I
1007354,A,2023-01-26,I
1007355,A,2023-02-05,A
1007356,B,2023-01-26,A
1007357,B,2023-02-04,A
1007358,B,2023-02-02,A
1007359,A,2023-01-30,A
1007360,B,2023-02-01,A
1007361,B,2023-01-25,A
1007362,A,2023-01-25,I
1007363,A,2023-01-28,A
1007364,B,2023-02-04,A
1007365,B,2023-01-30,A
1007366,A,2023-01-26,A
1007367,A,2023-01-31,I
1007368,A,2023-01-27,I
1007369,B,2023-01-26,I
1007370,B,2023-01-28,I
1007371,A,2023-01-30,
1007372,A,2023-02-06,I
1007373,A,2023-01-25,I
1007374,A,2023-01-27,A
1007375,B,2023-01-25,I
1007376,A,2023-01-25,A
1007377,B,2023-01-30,A
1007378,A,2023-01-27,A
1007379,B,2023-02-03,I
1007380,A,2023-01-26,I
1007381,A,2023-01-28,A
1007382,B,2023-01-30,I
1007384,A,2023-01-30,A
1007385,A,2023-02-04,A
1007386,A,2023-01-25,A
1007387,B,2023-02-03,A
1007388,B,2023-01-25,A
1007389,B,2023-01-25,A
1007390,B,2023-02-02,A
1007391,A,2023-01-28,A
1007392,B,2023-02-03,I
1007393,A,2023-02-03,A
1007394,A,2023-01-28,A
1007395,B,2023-01-25,A
1007396,A,2023-01-25,I
1007397,A,2023-01-26,A
1007398,B,2023-01-29,A
1007399,A,2023-01-25,I
1007400,A,2023-01-29,A
1007401,B,2023-01-28,A
1007402,B,2023-01-28,A
1007403,B,2023-01-25,A
1007404,A,2023-01-31,I
1007405,A,2023-01-25,I
1007406,A,2023-02-02,A
1007407,B,2023-01-25,A
1007408,B,2023-01-27,A
1007409,A,2023-01-28,I
1007410,A,2023-01-25,A
1007411,A,2023-02-05,A
1007412,B,2023-01-26,I
1007413,B,2023-01-26,A
1007414,B,2023-01-26,I
1007415,A,2023-01-25,A
1007416,B,2023-01-25,I
1007417,B,2023-02-06,I
1007418,B,2023-01-30,A
1007419,B,2023-01-27,I
1007420,A,2023-02-03,A
1007421,B,2023-01-31,A
1007422,B,2023-01-26,I
1007423,A,2023-01-27,A
1007424,A,2023-01-25,A
1007425,A,2023-01-31,A
1007426,A,2023-01-27,I
1007427,A,2023-01-25,I
1007428,B,2023-01-29,A
1007429,B,2023-01-31,A
1007430,A,2023-01-26,A
1007431,B,2023-01-30,I
1007432,A,2023-01-25,A
1007433,B,2023-01-25,A
1007434,B,2023-02-04,A
1007435,A,2023-01-27,I
1007436,A,2023-02-03,I
1007437,A,2023-01-30,A
1007438,A,2023-02-03,A
1007439,A,2023-01-26,A
1007440,B,2023-02-01,A
1007441,B,2023-01-28,I
1007442,B,2023-01-29,I
1007443,A,2023-01-29,A
1007444,B,2023-01-26,A
1007445,B,2023-01-27,A
1007446,B,2023-01-31,I
1007447,B,2023-01-26,A
1007448,A,2023-01-28,A
1007449,A,2023-02-03,I
1007450,B,2023-02-03,I
1007451,A,2023-02-02,A
1007452,B,2023-01-27,I
1007453,A,2023-02-02,I
1007454,A,2023-01-25,A
1007455,A,2023-02-01,A
1007456,A,2023-01-29,A
1007457,A,2023-02-05,I
1007458,B,2023-01-29,A
1007459,B,2023-02-03,A
1007460,B,2023-01-25,A
1007461,A,2023-01-25,I
1007462,A,2023-02-04,I
1007463,B,2023-01-26,A
1007464,A,2023-01-26,A
1007465,A,2023-01-30,A
1007466,A,2023-01-27,A
1007467,B,2023-01-28,A
1007468,A,2023-01-29,A
1007469,A,2023-02-06,A
1007470,A,2023-01-27,A
1007471,A,2023-01-27,A
1007472,A,2023-01-27,A
1007473,A,2023-02-02,A
1007474,A,2023-01-25,A
1007475,B,2023-01-26,A
1007476,A,2023-01-27,A
1007477,B,2023-01-25,A
1007478,B,2023-02-01,I
1007479,B,2023-01-30,I
1007480,B,2023-01-28,A
1007481,B,2023-01-26,A
1007482,B,2023-01-25,A
1007483,B,2023-01-29,A
1007484,A,2023-01-28,A
1007485,A,2023-01-26,A
1007486,A,2023-02-05,A
1007487,B,2023-01-28,A
1007488,B,2023-01-25,A
1007489,B,2023-02-02,A
1007491,B,2023-01-27,I
1007492,B,2023-02-04,A
1007493,B,2023-01-30,A
1007494,B,2023-01-25,A
1007495,B,2023-01-26,I
1007496,A,2023-02-02,A
1007497,B,2023-02-02,A
1007498,A,2023-01-30,A
1007499,B,2023-01-27,I
1007500,A,2023-01-27,A
1007501,B,2023-01-25,I
1007502,A,2023-01-26,A
1007503,A,2023-01-25,I
1007504,A,2023-02-01,I
1007505,A,2023-01-27,I
1007506,A,2023-01-25,I
1007507,A,2023-01-26,A
1007508,A,2023-02-01,I
1007509,A,2023-02-01,A
1007510,A,2023-02-05,I
1007511,A,2023-02-01,A
1007512,A,2023-01-29,A
1007513,B,2023-01-31,I
1007514,B,2023-01-27,
1007515,A,2023-01-25,A
1007516,A,2023-01-26,A
1007517,A,2023-01-28,A
1007518,B,2023-01-25,I
1007519,A,2023-01-27,I
1007520,B,2023-01-26,I
1007521,B,2023-02-01,A
1007523,B,2023-01-27,A
1007524,B,2023-01-25,A
1007525,A,2023-02-02,A
1007526,A,2023-01-26,I
1007527,B,2023-01-27,A
1007528,A,2023-02-03,A
1007529,A,2023-01-30,A
1007530,B,2023-01-29,I
1007531,B,2023-01-27,A
1007532,B,2023-01-25,A
1007533,A,2023-01-25,A
1007534,A,2023-02-03,A
1007535,A,2023-01-25,I
1007536,B,2023-01-29,I
1007537,B,2023-01-26,I
1007538,B,2023-01-27,A
1007539,B,2023-01-27,A
1007540,B,2023-02-03,I
1007541,A,2023-02-04,A
1007542,A,2023-01-29,I
1007543,B,2023-01-31,A
1007544,A,2023-01-28,I
1007545,A,2023-01-28,I
1007546,A,2023-01-26,A
1007547,B,2023-01-30,A
1007548,B,2023-01-27,I
1007549,A,2023-01-26,A
1007550,A,2023-02-06,A
1007551,B,2023-01-26,I
1007552,B,2023-02-06,A
1007553,A,2023-01-25,I
1007554,A,2023-01-25,A
1007555,B,2023-01-25,A
1007556,B,2023-01-30,I
1007557,B,2023-01-26,I
1007558,A,2023-01-25,A
1007559,B,2023-02-01,I
1007560,A,2023-01-25,A
1007561,B,2023-01-26,A
1007562,A,2023-01-29,A
1007563,B,2023-01-25,A
1007564,B,2023-01-25,A
1007565,B,2023-01-28,A
1007566,B,2023-01-26,A
1007567,B,2023-01-30,I
1007568,A,2023-01-27,I
1007569,B,2023-01-25,I
1007570,B,2023-01-25,I
1007571,A,2023-02-02,A
1007572,B,2023-01-28,I
1007573,B,2023-01-30,I
1007574,A,2023-01-25,A
1007576,A,2023-01-27,A
1007577,A,2023-01-25,I
1007578,A,2023-02-04,I
1007579,B,2023-02-06,A
1007580,B,2023-01-31,A
1007581,A,2023-01-30,A
1007582,B,2023-01-26,A
1007583,A,2023-02-02,A
1007584,A,2023-01-25,A
1007585,A,2023-01-25,I
1007586,B,2023-01-28,A
1007587,B,2023-01-25,A
1007588,A,2023-01-25,A
1007589,A,2023-01-26,I
1007590,B,2023-02-03,I
1007591,A,2023-01-26,I
1007592,B,2023-01-29,A
1007593,A,2023-01-25,I
1007594,B,2023-01-25,A
1007595,A,2023-02-01,A
1007596,B,2023-01-25,I
1007597,B,2023-01-25,I
1007598,B,2023-01-26,I
1007599,A,2023-02-03,A
1007600,A,2023-01-25,I
1007601,B,2023-01-25,A
1007602,A,2023-01-29,I
1007603,B,2023-01-25,I
1007604,B,2023-02-02,I
1007605,A,2023-01-27,I
1007606,B,2023-01-29,I
1007607,B,2023-02-05,A
1007608,A,2023-01-31,A
1007609,A,2023-01-25,I
1007610,A,2023-02-05,A
1007611,A,2023-01-31,A
1007612,A,2023-01-26,A
1007613,A,2023-02-05,A
1007614,B,2023-01-25,I
1007615,B,2023-01-25,A
1007616,A,2023-01-25,A
1007617,A,2023-01-28,A
1007618,A,2023-02-02,A
1007619,B,2023-01-27,A
1007620,A,2023-01-29,I
1007621,A,2023-02-06,A
1007622,A,2023-01-26,I
1007623,B,2023-01-27,I
1007624,A,2023-01-25,I
1007625,A,2023-02-02,I
1007626,A,2023-01-26,I
1007627,A,2023-01-27,I
1007628,A,2023-01-28,A
1007629,A,2023-01-28,I
1007630,A,2023-01-28,I
1007631,B,2023-01-30,A
1007632,B,2023-01-27,I
1007633,A,2023-01-25,A
1007634,B,2023-01-29,A
1007635,B,2023-01-29,I
1007636,B,2023-01-25,A
1007637,A,2023-02-02,A
1007638,B,2023-02-02,I
1007639,B,2023-01-27,I
1007640,A,2023-01-29,I
1007641,B,2023-01-26,A
1007642,A,2023-01-27,A
1007643,B,2023-01-26,I
1007644,B,2023-01-26,A
1007645,B,2023-01-28,I
1007646,A,2023-02-02,I
